# ltrace -x '*' -o ltrace.txt -f -S -s 1024 ./squashfs-root/usr/bin/magick identify -define video:pixel-format='canary123' example.mov
4064738 SYS_mmap(0x78e67ce57000, 1272, 3, 50)                                                                         = 0x78e67ce57000
4064738 SYS_mmap(0x78e67ce58000, 0x3000, 3, 2066)                                                                     = 0x78e67ce58000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2c50, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2a30, 448, 0x78000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2d20)                                                                                  = 0
4064738 SYS_mmap(0, 8192, 3, 34)                                                                                      = 0x78e67ef7f000
4064738 SYS_pread(3, 0x7ffda43b2ac0, 448, 0x78000)                                                                    = 448
4064738 SYS_mmap(0, 0x479af8, 0, 2082)                                                                                = 0x78e67c600000
4064738 SYS_mmap(0x78e67c600000, 0x279af8, 5, 2066)                                                                   = 0x78e67c600000
4064738 SYS_munmap(0x78e67c87a000, 2095864)                                                                           = 0
4064738 SYS_mprotect(0x78e67c674000, 2113536, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67c873000, 0x5000, 3, 2066)                                                                     = 0x78e67c873000
4064738 SYS_mmap(0x78e67c878000, 8192, 3, 2066)                                                                       = 0x78e67c878000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2c30, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b2a10, 448, 0x5000)                                                                     = 448
4064738 SYS_fstat(3, 0x7ffda43b2d00)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2aa0, 448, 0x5000)                                                                     = 448
4064738 SYS_mmap(0, 0x405890, 0, 2082)                                                                                = 0x78e67c000000
4064738 SYS_mmap(0x78e67c000000, 0x205890, 5, 2066)                                                                   = 0x78e67c000000
4064738 SYS_munmap(0x78e67c206000, 2095248)                                                                           = 0
4064738 SYS_mprotect(0x78e67c004000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67c203000, 8192, 3, 2066)                                                                       = 0x78e67c203000
4064738 SYS_mmap(0x78e67c205000, 4096, 3, 2066)                                                                       = 0x78e67c205000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2c10, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b29f0, 448, 0x68000)                                                                    = 448
4064738 SYS_fstat(3, 0x7ffda43b2ce0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2a80, 448, 0x68000)                                                                    = 448
4064738 SYS_mmap(0, 0x468e90, 0, 2082)                                                                                = 0x78e67ba00000
4064738 SYS_mmap(0x78e67ba00000, 0x268e90, 5, 2066)                                                                   = 0x78e67ba00000
4064738 SYS_munmap(0x78e67bc69000, 2096784)                                                                           = 0
4064738 SYS_mprotect(0x78e67ba67000, 2101248, 0)                                                                      = 0
4064738 SYS_mmap(0x78e67bc66000, 8192, 3, 2066)                                                                       = 0x78e67bc66000
4064738 SYS_mmap(0x78e67bc68000, 4096, 3, 2066)                                                                       = 0x78e67bc68000
4064738 SYS_close(3)                                                                                                  = 0
4064738 SYS_openat(0xffffff9c, 0x7ffda43b2bf0, 0x80000, 0)                                                            = 3
4064738 SYS_read(3, "\177ELF\002\001\001", 832)                                                                       = 832
4064738 SYS_pread(3, 0x7ffda43b29d0, 448, 0xe000)                                                                     = 448
4064738 SYS_fstat(3, 0x7ffda43b2cc0)                                                                                  = 0
4064738 SYS_pread(3, 0x7ffda43b2a60, 448, 0xe000)                                                                     = 448
4064738 SYS_mmap(0, 0x40ece0, 0, 2082)                                                                                = 0x78e67b400000
4064738 SYS_mmap(0x78e67b400000, 0x20ece0, 5, 2066)                                                                   = 0x78e67b400000
4064738 SYS_munmap(0x78e67b60f000, 2096352)                                                                           = 0
4064738 SYS_mprotect(0x78e67b40d000, 2101248, 0)                                                                      = 0
